date,symbol,sharesOutstanding
20181005,JCI,924922181
20181005,JEC,141904099
20181005,JEF,333332094
20181005,JNJ,2682756061
20181005,JNPR,344795010
20181005,JPM,3360884107
20181005,JWN,168565459
20181005,K,346672653
20181005,KEY,1052036090
20181005,KHC,1219248231
20181005,KIM,421382113
20181005,KLAC,154835013
20181005,KMB,347664541
20181005,KMI,2206828970
20181005,KMX,175289632
20181005,KO,4252922447
20181005,KORS,149321694
20181005,KR,797418728
20181005,KSS,166712843
20181005,KSU,102159153
20181005,L,315982102
20181005,LB,275063433
20181005,LEG,130160438
20181005,LEN,329478658
20181005,LH,101900000
20181005,LKQ,318081581
20181005,LLL,78328669
20181005,LLY,1073987856
20181005,LMT,284781066
20181005,LNC,216680606
20181005,LNT,233772908
20181005,LOW,808275229
20181005,LRCX,152286842
20181005,LUV,573019190
20181005,LYB,389323996
20181005,M,306972712
20181005,MA,1108884100
20181005,MAA,113809954
20181005,MAC,141050902
20181005,MAR,346988137
20181005,MAS,307476697
20181005,MAT,344153031
20181005,MCD,775800409
20181005,MCHP,235557828
20181005,MCK,199770971
20181005,MCO,191900000
20181005,MDLZ,1466560999
20181005,MDT,1350511193
20181005,MET,994837941
20181005,MGM,537902116
20181005,MHK,74602891
20181005,MKC,131665195
20181005,MLM,63011972
20181005,MMC,504979546
20181005,MMM,586613476
20181005,MNST,552523130
20181005,MO,1885174950
20181005,MOS,385457882
20181005,MPC,691007474
20181005,MRK,2659525311
20181005,MRO,854147498
20181005,MS,1744789709
20181005,MSCI,88832899
20181005,MSFT,7668217316
20181005,MSI,162266801
20181005,MTB,143790862
20181005,MTD,25213828
20181005,MU,1159810627
20181005,MYL,515567254
20181005,NBL,483118790
20181005,NCLH,221468328
20181005,NDAQ,164508507
20181005,NEE,471604684
20181005,NEM,533398733
20181005,NFLX,435457505
20181005,NFX,199857444
20181005,NI,363036685
20181005,NKE,1600554538
20181005,NKTR,172468773
20181005,NLSN,355207609
20181005,NOC,174123419
20181005,NOV,382619458
20181005,NRG,303429305
20181005,NSC,280029764
20181005,NTAP,259268252
20181005,NTRS,223281786
20181005,NUE,316343488
20181005,NVDA,608000000
20181005,NWL,472500000
20181005,NWS,584776780
20181005,NWSA,584776780
20181005,O,290043300
20181005,OKE,411249474
20181005,OMC,224372758
20181005,ORCL,3788638156
20181005,ORLY,80563009
20181005,OXY,764721453
20181005,PAYX,359692748
20181005,PBCT,376872645
20181005,PCAR,350543255
20181005,PCG,517151337
20181005,PEG,505323326
20181005,PEP,1414321635
20181005,PFE,5862109503
20181005,PFG,284748761
20181005,PG,2489159247
20181005,PGR,583100000
20181005,PH,132416043
20181005,PHM,284018567
20181005,PKG,94497884
20181005,PKI,110734011
20181005,PLD,629514585
20181005,PM,1554506845
20181005,PNC,464302343
20181005,PNR,175403866
20181005,PNW,111974139
20181005,PPG,242018104
20181005,PPL,699570660
20181005,PRGO,136832585
20181005,PRU,417000000
20181005,PSA,174240424
20181005,PSX,464262410
20181005,PVH,76715454
20181005,PWR,148807552
20181005,PX,287575784
20181005,PXD,170401224
20181005,PYPL,1183672508
20181005,QCOM,1469128915
20181005,QRVO,125643281
20181005,RCL,208970026
20181005,RE,40855442
20181005,REG,169435706
20181005,REGN,108056348
20181005,RF,1073394384
20181005,RHI,122445184
20181005,RHT,177373891
20181005,RJF,145888459
20181005,RL,81130116
20181005,RMD,142684034
20181005,ROK,123164853
20181005,ROL,218174643
20181005,ROP,103345379
20181005,ROST,373365687
20181005,RSG,325358189
20181005,RTN,285260000
20181005,SBAC,114844339
20181005,SBUX,1349100000
20181005,SCG,142625416
20181005,SCHW,1351062783
20181005,SEE,158812370
20181005,SHW,93381022
20181005,SIVB,53213737
20181005,SJM,113737560
20181005,SLB,1384118911
20181005,SLG,86566698
20181005,SNA,56402181
20181005,SNPS,148588107
20181005,SO,1014136083
20181005,SPG,309217683
20181005,SPGI,251500000
20181005,SRCL,85887780
20181005,SRE,273458447
20181005,STI,460731345
20181005,STT,379071875
20181005,STX,287910920
20181005,STZ,191195545
20181005,SWK,153009803
20181005,SWKS,178981545
20181005,SYF,740686112
20181005,SYK,373990494
20181005,SYMC,621538648
20181005,SYY,519774992
20181005,T,7262000000
20181005,TAP,162773925
20181005,TDG,52628694
20181005,TEL,348458740
20181005,TGT,526350987
20181005,TIF,122411035
20181005,TJX,618764407
20181005,TMK,112296593
20181005,TMO,402796251
20181005,TPR,289629708
20181005,TRIP,137547281
20181005,TROW,243190703
20181005,TRV,267683231
20181005,TSCO,121804677
20181005,TSN,365930280
20181005,TSS,182418038
20181005,TTWO,113828217
20181005,TWTR,757845929
20181005,TXN,972195072
20181005,TXT,248410831
20181005,UA,444939413
20181005,UAA,444939413
20181005,UAL,272603972
20181005,UDR,267678903
20181005,UHS,93345587
20181005,ULTA,59770399
20181005,UNH,962473363
20181005,UNM,218705296
20181005,UNP,739494449
20181005,UPS,860344719
20181005,URI,82748285
20181005,USB,1629045046
20181005,UTX,800093285
20181005,V,2292688951
20181005,VAR,91547472
20181005,VFC,396461022
20181005,VIAB,347460112
20181005,VLO,427398027
20181005,VMC,132268189
20181005,VNO,190237957
20181005,VRSK,164708411
20181005,VRSN,121918584
20181005,VRTX,255559939
20181005,VTR,356439019
20181005,VZ,4131935606
20181005,WAT,77067003
20181005,WBA,992411822
20181005,WCG,49974911
20181005,WDC,290205068
20181005,WEC,315533448
20181005,WELL,372027784
20181005,WFC,4816137157
20181005,WHR,64563249
20181005,WLTW,130769522
20181005,WM,428716960
20181005,WMB,1209373071
20181005,WMT,2928734576
20181005,WRK,255112324
20181005,WU,447250652
20181005,WY,757679561
20181005,WYNN,108643901
20181005,XEC,95356074
20181005,XEL,509087107
20181005,XLNX,252913557
20181005,XOM,4233810348
20181005,XRAY,222344874
20181005,XRX,255101733
20181005,XYL,179617701
20181005,YUM,317355684
20181005,ZBH,203485719
20181005,ZION,194402811
20181005,ZTS,481823803
